File	Start	End	English	Salish	Tags	Audio	
comox01_side1	00:02		(Then say) berry (for me)				
comox01_side1	00:03		(the order) whisper		Action Verbs		
comox01_side1	00:09		(so this is) bite, eat		Action Verbs		
comox01_side1	00:14		(this is) hungry		State		
comox01_side1	00:18		swallow		Action Verbs		
comox01_side1	00:27		(then say) full		State		
comox01_side1	00:34		drink		Action Verbs		
comox01_side1	00:43		I want a drink				
comox01_side1	00:48		choke		Action Verbs		
comox01_side1	00:54		choke				
comox01_side1	00:58		(and then the) order		Action Verbs		
comox01_side1	01:05		burp		Action Verbs		
comox01_side1	01:11		the back of the neck		Body Parts		
comox01_side1	01:19		the back		Body Parts		
comox01_side1	01:28		the chest		Body Parts		
comox01_side1	01:33		(say) sharp (for me couple times)		State		
comox01_side1	01:36		a woman’s breast		Body Parts		
comox01_side1	01:40		rib		Body Parts		
comox01_side1	01:50		heart		Body Parts		
comox01_side1	01:55		to think		Action Verbs		
comox01_side1	02:01		(the first one is) lungs [??]		Body Parts		
comox01_side1	02:09		the belly of your stomach on the outside		Body Parts		
comox01_side1	02:15		the navel or the belly button		Body Parts		
comox01_side1	02:30		the inside, sort of everything on the inside				
comox01_side1	02:36		the gall bladder		Body Parts		
comox01_side1	02:43		hip		Body Parts		
comox01_side1	02:49		leg and foot		Body Parts		
comox01_side1	02:58		(the word for) knee		Body Parts		
comox01_side1	03:04		hand		Body Parts		
comox01_side1	03:09		shoulder		Body Parts		
comox01_side1	03:14		skin		Body Parts		
comox01_side1	03:20		bone		Body Parts		
comox01_side1	03:25		lungs (I guess)		Body Parts		
comox01_side1	03:38		liver		Body Parts		
comox01_side1	03:43		blood		Body Parts		
comox01_side1	03:47		fat		Body Parts		
comox01_side1	03:53		to be big or fat		State		
comox01_side1	04:00		(the whole thing) to be a big person		State		
comox01_side1	04:08		to be tall		State		
comox01_side1	04:17		to be short		State		
comox01_side1	04:26		(do the other one) for a person to be short		State		
comox01_side1	04:47		(and then just) anybody, a grown person		People		
comox01_side1	04:58		pus		Things		
comox01_side1	05:03		sweating		Things		
comox01_side1	05:08		(and then) sweat		Things		
comox01_side1	05:12		(the first one then is just) sleep		Things		
comox01_side1	05:18		(and then) he’s sleeping		Actions		
comox01_side1	05:29		he’s still sleeping		Actions		
comox01_side1	05:33		(so this, the first is) father		Relations		
comox01_side1	05:34		alive		State		
comox01_side1	05:38		die or dead		State		
comox01_side1	05:48		mother		Relations		
comox01_side1	05:52		brother or sister		Relations		
comox01_side1	05:57		a little boy		People		
comox01_side1	06:02		a little girl		People		
comox01_side1	06:07		a lady		People		
comox01_side1	06:11		a man		People		
comox01_side1	06:17		my job		Relations		
comox01_side1	06:25		my husband		Relations		
comox01_side1	06:31		she is my wife		Relations		
comox01_side1	06:38		a group of children		Relations		
comox01_side1	06:45		either a relative or a friend		People		
comox01_side1	06:57		a slave		People		
comox01_side1	07:02		a white man		People		
comox01_side1	07:08		a slave		People		
comox01_side1	07:18		day		Elemental Things		
comox01_side1	07:22		daybreak		Elemental Things		
comox01_side1	07:42		meadow		Elemental Things		
